geneNames	geneIDs	feature	id	fc	pval	qval
.	MSTRG.3428	transcript	4191	2500.53380048604	0.0170431366263645	0.928695521035182
.	MSTRG.3480	transcript	4255	4345.53141565194	0.0322938195796461	0.928695521035182
.	MSTRG.3520	transcript	4300	53208270.8151713	0.0410792057921858	0.928695521035182
phzM	MSTRG.3528	transcript	4309	68335.2994461901	0.0185737639633817	0.928695521035182
phzS	MSTRG.3529	transcript	4318	1424.46375768883	0.0345238988532738	0.928695521035182
pchB	MSTRG.3534	transcript	4331	8.38011510956684e-06	0.0133541224273979	0.928695521035182
rpoA	MSTRG.3541	transcript	4339	0.000489415311489031	0.00851899624354457	0.928695521035182
fusA1	MSTRG.3567	transcript	4367	5.00441363076708e-05	0.0416336334923797	0.928695521035182
.	MSTRG.3584	transcript	4385	10.074932264489	0.0132400822635403	0.928695521035182
.	MSTRG.3590	transcript	4392	1321.19540538019	0.0271922504201136	0.928695521035182
.	MSTRG.3597	transcript	4401	103408.567614323	0.0479088738148724	0.928695521035182
flp	MSTRG.3612	transcript	4421	3463.81581837234	0.00566886919764653	0.928695521035182
.	MSTRG.3619	transcript	4438	8.55124802679238	0.011289751241355	0.928695521035182
.	MSTRG.3636	transcript	4458	5042129091.06005	0.048093574641678	0.928695521035182
.	MSTRG.3643	transcript	4466	3.50174293030782e-05	0.0444967848904356	0.928695521035182
.	MSTRG.3651	transcript	4476	0.0017666597275179	0.0301549082208541	0.928695521035182
.	MSTRG.3667	transcript	4492	0.000854230408740018	0.0159717242730206	0.928695521035182
.	MSTRG.3672	transcript	4499	7.71007406712965e-12	0.04649066104694	0.928695521035182
.	MSTRG.3673	transcript	4500	148.908692636996	0.0461249592250231	0.928695521035182
.	MSTRG.3682	transcript	4509	0.0261525190321038	0.0404097448811098	0.928695521035182
panE	MSTRG.3688	transcript	4515	579.331085467254	0.0217053172050572	0.928695521035182
.	MSTRG.3714	transcript	4554	0.000106474921043193	0.0342980106502169	0.928695521035182
.	MSTRG.3720	transcript	4560	0.000274203994155897	0.0261643183614303	0.928695521035182
cysD	MSTRG.3723	transcript	4563	0.00208735179027	0.0366406369939938	0.928695521035182
.	MSTRG.3769	transcript	4618	25898274.3253158	0.0276807072162999	0.928695521035182
opdP	MSTRG.3773	transcript	4622	147330245888258	0.0195743581506707	0.928695521035182
lpxO1	MSTRG.3781	transcript	4633	0.105891784849791	0.0149299884438081	0.928695521035182
pilA	MSTRG.3792	transcript	4648	1.26834172903403e-06	0.0491506979123393	0.928695521035182
pilD	MSTRG.3794	transcript	4650	0.000126247517181734	0.0498523709494196	0.928695521035182
pilR	MSTRG.3810	transcript	4672	0.00110909540999936	0.0101850486040147	0.928695521035182
mexC	MSTRG.3853	transcript	4725	0.0657390503152994	0.0153380603694695	0.928695521035182
hemH	MSTRG.3905	transcript	4789	26.3283307682899	0.0493766340799309	0.928695521035182
hitA	MSTRG.3931	transcript	4825	2114852.03606141	0.0147366742940708	0.928695521035182
.	MSTRG.3932	transcript	4829	298320779.764776	0.0072410843360875	0.928695521035182
.	MSTRG.3934	transcript	4831	57416.566608169	0.0416101973619932	0.928695521035182
.	MSTRG.3955	transcript	4855	0.190321244333038	0.0298186808416246	0.928695521035182
.	MSTRG.3966	transcript	4867	0.0038268775670578	0.0384574384267531	0.928695521035182
.	MSTRG.3979	transcript	4884	0.101488462775425	0.00468462565490757	0.928695521035182
